date,se,browser,hits
2014-01-01,search,chrome,44778823.0
2014-01-01,yandex,chrome,16237589.0
2014-01-02,search,chrome,52448725.0
2014-01-02,yandex,chrome,18979110.0
2014-01-03,search,chrome,54640145.0
2014-01-03,yandex,chrome,19950733.0
2014-01-04,search,chrome,55238621.0
2014-01-04,yandex,chrome,20260880.0
2014-01-05,search,chrome,56777976.0
2014-01-05,yandex,chrome,20793473.0
2014-01-06,search,chrome,56519674.0
2014-01-06,yandex,chrome,20949727.0
2014-01-07,search,chrome,58185404.0
2014-01-07,yandex,chrome,21712488.0
2014-01-08,search,chrome,61462878.0
2014-01-08,yandex,chrome,22994435.0
2014-01-09,search,chrome,63936130.0
2014-01-09,yandex,chrome,24156088.0
2014-01-10,search,chrome,64614014.0
2014-01-10,yandex,chrome,24573289.0
2014-01-11,search,chrome,58488279.0
2014-01-11,yandex,chrome,21778323.0
2014-01-12,search,chrome,61525243.0
2014-01-12,yandex,chrome,23050926.0
2014-01-13,search,chrome,63449114.0
2014-01-13,yandex,chrome,24089549.0
2014-01-14,search,chrome,63447607.0
2014-01-14,yandex,chrome,24119656.0
2014-01-15,search,chrome,62227878.0
2014-01-15,yandex,chrome,23669155.0
2014-01-16,search,chrome,62035830.0
2014-01-16,yandex,chrome,23462220.0
2014-01-17,search,chrome,60425019.0
2014-01-17,yandex,chrome,22758992.0
2014-01-18,search,chrome,56396716.0
2014-01-18,yandex,chrome,20977634.0
2014-01-19,search,chrome,61290762.0
2014-01-19,yandex,chrome,22936460.0
2014-01-20,search,chrome,66518821.0
2014-01-20,yandex,chrome,25448142.0
2014-01-21,search,chrome,64702388.0
2014-01-21,yandex,chrome,24567384.0
2014-01-22,search,chrome,62947370.0
2014-01-22,yandex,chrome,23994273.0
2014-01-23,search,chrome,63065798.0
2014-01-23,yandex,chrome,23935965.0
2014-01-24,search,chrome,61265539.0
2014-01-24,yandex,chrome,23093381.0
2014-01-25,search,chrome,57811265.0
2014-01-25,yandex,chrome,21409279.0
2014-01-26,search,chrome,62335296.0
2014-01-26,yandex,chrome,23415751.0
2014-01-27,search,chrome,66677080.0
2014-01-27,yandex,chrome,25435896.0
2014-01-28,search,chrome,64943242.0
2014-01-28,yandex,chrome,24702400.0
2014-01-29,search,chrome,65860418.0
2014-01-29,yandex,chrome,25242638.0
2014-01-30,search,chrome,65320122.0
2014-01-30,yandex,chrome,24861034.0
